"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases
"
North America
","48,842,117","+18,731","1,006,673",+758,"38,074,054","+17,269","9,761,390"
"
Asia
","70,994,291","+118,005","1,049,192","+2,168","66,280,456","+160,313","3,664,643"
"
South America
","37,032,591",,"1,134,070",,"34,851,630",,"1,046,891"
"
Europe
","55,781,261","+30,441","1,179,120",+895,"50,919,786","+52,928","3,682,355"
"
Africa
","7,945,380",+204,"198,814",+13,"7,075,709",+713,"670,857"
"
Oceania
","170,144","+1,977","2,253",+7,"119,305",+36,"48,586"
"

",721,,15,,706,,0
S. Korea,"258,913","+1,803","2,315 ",+7,"230,405","+1,787","26,193"
Armenia,"244,602",+621,"4,904 ",+12,"228,736",+522,"10,962"
Kenya,"238,852",,"4,757 ",,"226,037",,"8,058"
Qatar,"233,280",,602 ,,"230,168",,"2,510"
Mongolia,"228,685","+3,696",957 ,+6,"200,874","+2,644","26,854"
Bosnia and Herzegovina,"216,124",,"9,862 ",,"192,218",,"14,044"
Zambia,"207,028",+144,"3,614 ",+3,"201,981",+338,"1,433"
Algeria,"197,308",,"5,373 ",,"134,390",,"57,545"
Nigeria,"194,088",,"2,495 ",,"179,679",,"11,914"
North Macedonia,"178,879",,"6,013 ",,"157,868",,"14,998"
Kyrgyzstan,"176,347",+154,"2,546 ",+5,"170,396",+135,"3,405"
Norway,"165,051",,822 ,,"88,952",,"75,277"
Botswana,"159,317",,"2,276 ",,"151,895",,"5,146"
Uzbekistan,"159,209",+648,"1,106 ",+7,"151,067",+717,"7,036"
Afghanistan,"153,420",+25,"7,130 ",+2,"111,513",+213,"34,777"
Albania,"149,117",,"2,508 ",,"135,321",,"11,288"
Mozambique,"147,431",,"1,872 ",,"135,638",,"9,921"
Latvia,"144,160",+360,"2,584 ",,"138,376",+160,"3,200"
Estonia,"143,533",+352,"1,297 ",+1,"135,317",+630,"6,919"
Finland,"129,192",+87,"1,030 ",,"46,000",,"82,162"
Zimbabwe,"125,331",,"4,457 ",,"114,639",,"6,235"
Namibia,"125,313",,"3,399 ",,"119,746",,"2,168"
Ghana,"120,452",,"1,052 ",,"112,460",,"6,940"
Uganda,"120,377",,"3,038 ",,"95,590",,"21,749"
Montenegro,"117,080",,"1,748 ",,"107,041",,"8,291"
Cyprus,"114,604",,512 ,,"90,755",,"23,337"
El Salvador,"96,067",,"2,952 ",+8,"81,339",,"11,776"
Cambodia,"94,839",+422,"1,950 ",+13,"90,273",+376,"2,616"
Rwanda,"89,172",,"1,112 ",,"45,348",,"42,712"
Cameroon,"84,210",,"1,357 ",,"80,433",,"2,420"
Maldives,"81,653",,226 ,,"79,448",,"1,979"
Luxembourg,"76,102",,830 ,,"74,161",,"1,111"
Senegal,"73,104",+57,"1,794 ",+9,"63,461",+369,"7,849"
Jamaica,"69,789",,"1,585 ",,"48,580",,"19,624"
Singapore,"68,469",+259,55 ,,"66,368",,"2,046"
Malawi,"60,728",,"2,203 ",,"48,644",,"9,881"
Australia,"59,968","+1,758","1,036 ",+4,"34,413",,"24,519"
Ivory Coast,"56,608",,455 ,,"54,292",,"1,861"
DRC,"55,307",,"1,061 ",,"30,858",,"23,388"
Réunion,"50,346",,342 ,,"47,752",,"2,252"
Guadeloupe,"49,381",,539 ,,"2,250",,"46,592"
Angola,"48,261",,"1,248 ",,"43,795",,"3,218"
Fiji,"47,709",+200,510 ,+2,"30,345",+13,"16,854"
Trinidad and Tobago,"45,300",,"1,318 ",,"39,996",,"3,986"
Eswatini,"44,014",,"1,132 ",,"36,882",,"6,000"
Madagascar,"42,881",+3,957 ,+1,"41,308",+6,616
French Polynesia,"40,178",,480 ,,"33,500",,"6,198"
Sudan,"37,715",,"2,837 ",,"31,675",,"3,203"
Martinique,"37,192",,442 ,,104,,"36,646"
Malta,"36,426",+62,442 ,+1,"34,869",+33,"1,115"
Cabo Verde,"35,739",,315  ,,"34,493",,931
French Guiana,"35,721",,221 ,,"9,995",,"25,505"
Mauritania,"33,989",,730 ,,"31,178",,"2,081"
Suriname,"30,120",,733 ,,"24,761",,"4,626"
Guinea,"29,742",,346 ,,"27,515",,"1,881"
Syria,"28,303",,"2,029 ",,"22,531",,"3,743"
Guyana,"26,112",,636 ,,"23,433",,"2,043"
Gabon,"26,079",,167 ,,"25,723",,189
Togo,"21,980",,190 ,,"17,226",,"4,564"
Haiti,"20,977",,586 ,,"18,294",,"2,097"
Seychelles,"20,144",,105 ,,"19,500",,539
Mayotte,"19,875",,175 ,,"2,964",,"16,736"
Bahamas,"18,694",,412 ,,"14,893",,"3,389"
Papua New Guinea,"17,926",,192 ,,"17,547",,187
Somalia,"17,630",,992 ,,"8,604",,"8,034"
Timor-Leste,"17,379",,74 ,,"12,876",,"4,429"
Benin,"16,946",,135 ,,"11,890",,"4,921"
Tajikistan,"16,913",,124 ,,"16,776",,13
Belize,"16,750",,363 ,,"15,161",,"1,226"
Taiwan,"16,013",+1,837 ,,"15,013",+17,163
Laos,"15,605",,15 ,,"5,463",,"10,127"
Curaçao,"15,413",,148 ,,"14,900",,365
Andorra,"15,055",,130 ,,"14,874",,51
Mali,"14,919",,540 ,,"14,124",,255
Aruba,"14,764",,149 ,,"14,049",,566
Lesotho,"14,395",,403 ,,"6,830",,"7,162"
Burkina Faso,"13,816",,171 ,,"13,545",,100
Congo,"13,588",,183 ,,"12,421",,984
Burundi,"12,585",,38 ,,773,,"11,774"
Hong Kong,"12,114",,212 ,,"11,798",,104
Djibouti,"11,768",,157 ,,"11,570",,41
Nicaragua,"11,735",,200 ,,"4,225",,"7,310"
South Sudan,"11,473",,120 ,,"10,948",,405
CAR,"11,296",,100 ,,"6,859",,"4,337"
Mauritius,"11,181",,31 ,,"1,854",,"9,296"
Iceland,"10,956",,33 ,,"10,147",,776
Channel Islands,"10,738",,95 ,,"10,225",,418
Equatorial Guinea,"9,760",,128 ,,"8,939",,693
Gambia,"9,736",,323 ,,"9,345",,68
Saint Lucia,"8,887",,116 ,,"6,454",,"2,317"
Yemen,"8,018",,"1,513 ",,"4,937",,"1,568"
Isle of Man,"6,779",,38 ,,"6,445",,296
Eritrea,"6,646",,38 ,,"6,595",,13
Sierra Leone,"6,371",,121 ,,"4,361",,"1,889"
Niger,"5,869",,199 ,,"5,575",,95
Guinea-Bissau,"5,869",,120 ,,"4,921",,828
Liberia,"5,459",,148 ,,"2,715",,"2,596"
Gibraltar,"5,386",+10,97 ,,"5,198",+7,91
San Marino,"5,321",,90 ,,"5,150",,81
Barbados,"5,183",,51 ,,"4,707",,425
Chad,"4,995",,174 ,,"4,816",,5
Comoros,"4,083",,147 ,,"3,906",,30
Sint Maarten,"3,797",,56 ,,"3,505",,236
New Zealand,"3,748",+19,27 ,+1,"2,971",+23,750
Saint Martin,"3,463",,45 ,,"1,399",,"2,019"
Liechtenstein,"3,301",,59 ,,"3,189",,53
Monaco,"3,224",,33 ,,"3,115",,76
Brunei ,"3,093",,12 ,,"1,297",,"1,784"
Bermuda,"3,048",,34 ,,"2,724",,290
Turks and Caicos,"2,674",,20 ,,"2,569",,85
Sao Tome and Principe,"2,657",,37 ,,"2,449",,171
British Virgin Islands,"2,640",,37 ,,"2,537",,66
Bhutan,"2,596",,3 ,,"2,574",,19
St. Vincent Grenadines,"2,358",,12 ,,"2,305",,41
Dominica,"1,832",,4 ,,"1,210",,618
Caribbean Netherlands,"1,808",,17 ,,"1,754",,37
Antigua and Barbuda,"1,750",,44 ,,"1,349",,357
St. Barth,"1,534",,2 ,,462,,"1,070"
Tanzania,"1,367",,50 ,,183,,"1,134"
Saint Kitts and Nevis,"1,166",,5 ,,659,,502
Grenada,"1,098",,5 ,,225,,868
Faeroe Islands,"1,002",,2 ,,995,,5
Diamond Princess,712,,13 ,,699,,0
Cayman Islands,690,,2 ,,671,,17
Wallis and Futuna,445,,7 ,,438,,0
Greenland,347,, ,,306,+8,41
Anguilla,279,+23, ,,208,,71
New Caledonia,136,, ,,58,,78
Falkland Islands,67,, ,,63,,4
Macao,63,, ,,60,,3
Saint Pierre Miquelon,31,, ,,30,,1
Montserrat,29,,1 ,,22,,6
Vatican City,27,, ,,27,,0
Solomon Islands,20,, ,,20,,0
Western Sahara,10,,1 ,,8,,1
MS Zaandam,9,,2 ,,7,,0
Vanuatu,4,,1 ,,3,,0
Marshall Islands,4,, ,,4,,0
Samoa,3,, ,,3,,0
Palau,2,, ,,2,,0
Saint Helena,2,, ,,2,,0
Micronesia,1,, ,,1,,0
China,"94,982",+28,"4,636 ",,"89,438",+55,908
Total:,"48,842,117","+18,731","1,006,673",+758,"38,074,054","+17,269","9,761,390"
Total:,"70,994,291","+118,005","1,049,192","+2,168","66,280,456","+160,313","3,664,643"
Total:,"37,032,591",,"1,134,070",,"34,851,630",,"1,046,891"
Total:,"55,781,261","+30,441","1,179,120",+895,"50,919,786","+52,928","3,682,355"
Total:,"7,945,380",+204,"198,814",+13,"7,075,709",+713,"670,857"
Total:,"170,144","+1,977","2,253",+7,"119,305",+36,"48,586"
Total:,721,,15,,706,,0
Total:,"220,766,505","+169,358","4,570,137","+3,841","197,321,646","+231,259","18,874,722"

"
Asia
","70,876,286","+241,676","1,047,024","+3,764","66,120,143","+242,763","3,709,119"
"
North America
","48,823,386","+223,534","1,005,915","+2,754","38,056,785","+96,910","9,760,686"
"
South America
","37,032,591","+35,139","1,134,070","+1,152","34,851,630","+30,074","1,046,891"
"
Europe
","55,750,820","+136,701","1,178,225","+1,581","50,866,858","+125,350","3,705,737"
"
Africa
","7,945,176","+25,945","198,801",+614,"7,074,996","+31,274","671,379"
"
Oceania
","168,167","+1,930","2,246",+33,"119,269","+1,053","46,652"
"

",721,,15,,706,,0
World,"220,597,147","+664,925","4,566,296","+9,898","197,090,387","+527,424","18,940,464"
China,"94,954",+28,"4,636 ",,"89,383",+70,935
USA,"40,703,674","+182,593","664,935 ","+1,512","31,265,847","+66,012","8,772,892"
India,"32,944,691","+42,346","440,256 ",+340,"32,092,117","+36,032","412,318"
Brazil,"20,856,060","+25,348","582,753 ",+749,"19,820,202","+18,477","453,105"
Russia,"6,975,174","+18,856","185,611 ",+799,"6,236,738","+18,690","552,825"
UK,"6,904,969","+42,076","133,041 ",+121,"5,561,928","+28,701","1,210,000"
France,"6,812,706","+13,466","114,773 ",+93,"6,335,183","+24,324","362,750"
Turkey,"6,458,630","+22,857","57,559 ",+276,"5,886,912","+14,527","514,159"
Argentina,"5,199,919","+4,318","112,356 ",+161,"4,891,152","+6,734","196,411"
Iran,"5,083,133","+27,621","109,549 ",+561,"4,302,011","+32,503","671,573"
Colombia,"4,914,881","+1,850","125,158 ",+61,"4,744,394","+1,754","45,329"
Spain,"4,877,755","+6,311","84,795 ",+155,"4,418,343","+18,479","374,617"
Italy,"4,559,970","+6,735","129,410 ",+58,"4,293,535","+6,544","137,025"
Indonesia,"4,116,890","+7,797","134,930 ",+574,"3,813,643","+15,544","168,317"
Germany,"3,996,616","+12,633","92,829 ",+35,"3,757,600","+6,900","146,187"
Mexico,"3,387,885","+18,138","261,496 ",+993,"2,727,659","+12,616","398,730"
Poland,"2,889,772",+348,"75,372 ",+5,"2,657,274",+97,"157,126"
South Africa,"2,805,604","+9,199","83,161 ",+247,"2,578,741","+10,276","143,702"
Ukraine,"2,293,541","+2,693","53,922 ",+45,"2,210,866","+1,112","28,753"
Peru,"2,153,092",+974,"198,420 ",+56,N/A,N/A,N/A
Philippines,"2,040,343","+20,085","33,873 ",+193,"1,847,414","+7,423","159,056"
Netherlands,"1,949,195","+2,540","18,026 ",+9,"1,856,839","+2,758","74,330"
Iraq,"1,908,079","+5,672","20,994 ",+60,"1,756,586","+7,828","130,499"
Malaysia,"1,805,382","+19,378","17,521 ",+330,"1,528,672","+22,399","259,189"
Czechia,"1,680,051",+310,"30,406 ",+1,"1,647,663",+11,"1,982"
Chile,"1,640,192",+494,"37,041 ",+46,"1,597,118",+355,"6,033"
Japan,"1,524,789","+18,338","16,184 ",+61,"1,296,746","+18,806","211,859"
Canada,"1,511,212","+4,159","27,006 ",+15,"1,449,550","+2,983","34,656"
Bangladesh,"1,510,283","+3,167","26,432 ",+70,"1,442,582","+4,697","41,269"
Thailand,"1,249,140","+14,653","12,374 ",+271,"1,076,966","+18,262","159,800"
Belgium,"1,189,710","+2,204","25,392 ",+10,"1,103,638",,"60,680"
Pakistan,"1,171,578","+3,787","26,035 ",+57,"1,055,467","+6,595","90,076"
Sweden,"1,130,525",,"14,651 ",,"1,089,055",+852,"26,819"
Israel,"1,104,971","+6,244","7,129 ",+7,"1,009,009","+9,674","88,833"
Romania,"1,103,198","+1,520","34,650 ",+33,"1,057,522",+600,"11,026"
Portugal,"1,044,144","+1,822","17,772 ",+6,"983,063","+2,464","43,309"
Morocco,"876,732","+4,381","12,923 ",+104,"813,670","+6,237","50,139"
Hungary,"813,040",+247,"30,061 ",+1,"777,988",+79,"4,991"
Kazakhstan,"803,601","+4,930","9,591 ",+96,"701,641","+10,161","92,369"
Jordan,"799,825",+841,"10,454 ",+12,"777,634",+709,"11,737"
Switzerland,"788,813","+3,121","11,010 ",,"710,815","+1,026","66,988"
Serbia,"773,426","+3,623","7,339 ",+17,"724,722",+802,"41,365"
Nepal,"767,271","+1,357","10,809 ",+23,"723,456","+2,274","33,006"
UAE,"721,308",+978,"2,044 ",+1,"709,659","+1,504","9,605"
Austria,"693,416","+1,753","10,785 ",+7,"665,894","+1,312","16,737"
Cuba,"672,599","+6,927","5,538 ",+74,"634,872","+7,630","32,189"
Tunisia,"670,027","+1,976","23,710 ",+63,"627,890","+5,537","18,427"
Lebanon,"605,521","+1,112","8,079 ",+9,"557,817","+1,523","39,625"
Greece,"596,383","+2,715","13,737 ",+35,"545,484","+1,914","37,162"
Georgia,"559,943","+3,034","7,649 ",+86,"506,486","+3,952","45,808"
Saudi Arabia,"544,985",+174,"8,565 ",+5,"533,632",+202,"2,788"
Ecuador,"502,146",,"32,296 ",,"443,880",,"25,970"
Vietnam,"501,649","+14,922","12,446 ",+308,"270,668","+11,344","218,535"
Bolivia,"491,759",+419,"18,486 ",+13,"437,636","+1,140","35,637"
Belarus,"487,017","+1,950","3,814 ",+11,"479,229","+1,547","3,974"
Guatemala,"484,263","+4,887","12,155 ",+57,"419,636","+3,456","52,472"
Costa Rica,"472,315","+2,750","5,568 ",+28,"377,597","+2,125","89,150"
Bulgaria,"460,691","+1,640","19,051 ",+50,"407,851",+822,"33,789"
Panama,"459,077",+439,"7,073 ",+4,"445,207",+731,"6,797"
Paraguay,"458,799",+83,"15,864 ",+43,"438,081",+238,"4,854"
Sri Lanka,"451,401","+3,644","9,806 ",+202,"380,166","+1,998","61,429"
Azerbaijan,"436,257","+3,762","5,760 ",+38,"377,287","+3,812","53,210"
Kuwait,"410,167",+95,"2,422 ",+1,"405,583",+113,"2,162"
Myanmar,"409,509","+3,410","15,693 ",+93,"358,074","+2,310","35,742"
Slovakia,"395,532",+232,"12,549 ",+1,"381,335",+84,"1,648"
Uruguay,"385,423",+159,"6,034 ",,"378,088",+220,"1,301"
Croatia,"376,417",+816,"8,355 ",+6,"363,906",+597,"4,156"
Ireland,"354,236",,"5,112 ",,"299,198",+884,"49,926"
Dominican Republic,"351,200",+411,"4,009 ",,"342,022",+339,"5,169"
Palestine,"350,224","+2,494","3,706 ",+7,"320,975",+889,"25,543"
Denmark,"347,909",+697,"2,587 ",+3,"333,484","+1,013","11,838"
Honduras,"342,508",+990,"8,998 ",+24,"107,516",+55,"225,994"
Venezuela,"338,300",+941,"4,072 ",+16,"322,162",+898,"12,066"
Libya,"313,504","+1,388","4,308 ",+22,"225,676","+1,656","83,520"
Ethiopia,"312,348","+1,354","4,731 ",+20,"280,421",+973,"27,196"
Oman,"302,466",,"4,070 ",,"292,181",,"6,215"
Lithuania,"301,181",+833,"4,592 ",+8,"282,172",+493,"14,417"
Egypt,"289,353",+318,"16,766 ",+11,"240,976",+651,"31,611"
Bahrain,"272,807",+98,"1,388 ",,"270,459",+146,960
Moldova,"269,602",+710,"6,419 ",+8,"258,410",+426,"4,773"
Slovenia,"269,249",+611,"4,453 ",,"258,465",+334,"6,331"
S. Korea,"257,110","+1,709","2,308 ",+5,"228,618","+2,396","26,184"
Armenia,"243,981",+595,"4,892 ",+16,"228,214",+488,"10,875"
Kenya,"238,852","+1,001","4,757 ",+11,"226,037","+1,155","8,058"
Qatar,"233,280",+193,602 ,,"230,168",+204,"2,510"
Mongolia,"224,989","+3,638",951 ,+3,"198,230","+2,554","25,808"
Bosnia and Herzegovina,"216,124",+811,"9,862 ",+15,"192,218",,"14,044"
Zambia,"206,884",+179,"3,611 ",+3,"201,643",+136,"1,630"
Algeria,"197,308",+393,"5,373 ",+34,"134,390",+317,"57,545"
Nigeria,"194,088",+444,"2,495 ",+7,"179,679",+385,"11,914"
North Macedonia,"178,879",+720,"6,013 ",+26,"157,868",+574,"14,998"
Kyrgyzstan,"176,193",+175,"2,541 ",+5,"170,261",+92,"3,391"
Norway,"165,051","+1,687",822 ,,"88,952",,"75,277"
Botswana,"159,317",,"2,276 ",,"151,895",,"5,146"
Uzbekistan,"158,561",+689,"1,099 ",+6,"150,350",+583,"7,112"
Afghanistan,"153,395",+20,"7,128 ",+1,"111,300",+19,"34,967"
Albania,"149,117",+895,"2,508 ",+3,"135,321",+519,"11,288"
Mozambique,"147,431",+365,"1,872 ",+1,"135,638",+207,"9,921"
Latvia,"143,800",+354,"2,584 ",+4,"138,216",+132,"3,000"
Estonia,"143,181",+346,"1,296 ",+1,"134,687",+324,"7,198"
Finland,"129,105",+561,"1,030 ",,"46,000",,"82,075"
Zimbabwe,"125,331",+213,"4,457 ",+8,"114,639",+442,"6,235"
Namibia,"125,313",+107,"3,399 ",+5,"119,746",+36,"2,168"
Ghana,"120,452",+449,"1,052 ",+5,"112,460",+361,"6,940"
Uganda,"120,377",+169,"3,038 ",+7,"95,590",,"21,749"
Montenegro,"117,080",+547,"1,748 ",+15,"107,041",+624,"8,291"
Cyprus,"114,604",+238,512 ,+4,"90,755",,"23,337"
El Salvador,"96,067",,"2,944 ",+10,"81,339",,"11,784"
Cambodia,"94,417",+491,"1,937  ",+9,"89,897",+397,"2,583"
Rwanda,"89,172",+490,"1,112 ",+7,"45,348",+19,"42,712"
Cameroon,"84,210",,"1,357 ",,"80,433",,"2,420"
Maldives,"81,653",+179,226 ,,"79,448",+108,"1,979"
Luxembourg,"76,102",+121,830 ,,"74,161",+63,"1,111"
Senegal,"73,047",+70,"1,785 ",+5,"63,092",+322,"8,170"
Jamaica,"69,789",+735,"1,585 ",+17,"48,580",+87,"19,624"
Singapore,"68,210",+219,55 ,,"66,368",+56,"1,787"
Malawi,"60,728",+65,"2,203 ",+8,"48,644",+78,"9,881"
Australia,"58,210","+1,645","1,032 ",+13,"34,413",+842,"22,765"
Ivory Coast,"56,608",+87,455 ,+4,"54,292",+138,"1,861"
DRC,"55,307",+161,"1,061 ",+2,"30,858",,"23,388"
Réunion,"50,346",,342 ,,"47,752",,"2,252"
Guadeloupe,"49,381",,539 ,,"2,250",,"46,592"
Angola,"48,261",+257,"1,248 ",+13,"43,795",+56,"3,218"
Fiji,"47,509",+253,508 ,+3,"30,332",+163,"16,669"
Trinidad and Tobago,"45,300",+239,"1,318 ",+7,"39,996",+296,"3,986"
Eswatini,"44,014",+157,"1,132 ",+3,"36,882",+734,"6,000"
Madagascar,"42,878",+2,956 ,,"41,302",+4,620
French Polynesia,"40,178",,480 ,+17,"33,500",,"6,198"
Sudan,"37,715",,"2,837 ",,"31,675",,"3,203"
Martinique,"37,192",,442 ,,104,,"36,646"
Malta,"36,364",+42,441 ,,"34,836",+55,"1,087"
Cabo Verde,"35,739",+115,315 ,+1,"34,493",+38,931
French Guiana,"35,721",+193,221 ,,"9,995",,"25,505"
Mauritania,"33,989",+120,730 ,+6,"31,178",+171,"2,081"
Suriname,"30,120",+199,733 ,+3,"24,761",+163,"4,626"
Guinea,"29,742",+137,346 ,+5,"27,515",+110,"1,881"
Syria,"28,303",+129,"2,029 ",+6,"22,531",+21,"3,743"
Guyana,"26,112",+161,636 ,+4,"23,433",+95,"2,043"
Gabon,"26,079",+191,167 ,+1,"25,723",+98,189
Togo,"21,980",+195,190 ,+3,"17,226",+147,"4,564"
Haiti,"20,977",+15,586 ,,"18,294",+72,"2,097"
Seychelles,"20,144",,105 ,,"19,500",,539
Mayotte,"19,875",+23,175 ,,"2,964",,"16,736"
Bahamas,"18,694",+118,412 ,,"14,893",+74,"3,389"
Papua New Guinea,"17,926",,192 ,,"17,547",,187
Somalia,"17,630",,992 ,,"8,604",,"8,034"
Timor-Leste,"17,379",+196,74 ,,"12,876",+251,"4,429"
Benin,"16,946","+1,014",135 ,+4,"11,890",+792,"4,921"
Tajikistan,"16,913",+29,124 ,,"16,776",+34,13
Belize,"16,750",+138,363 ,+1,"15,161",+78,"1,226"
Taiwan,"16,012",+6,837 ,,"14,996",+36,179
Laos,"15,605",+146,15 ,+1,"5,463",+45,"10,127"
Curaçao,"15,413",+34,148 ,+1,"14,900",+47,365
Andorra,"15,055",+3,130 ,,"14,874",+7,51
Mali,"14,919",+10,540 ,+1,"14,124",+10,255
Aruba,"14,764",+45,149 ,+1,"14,049",+65,566
Lesotho,"14,395",,403 ,,"6,830",,"7,162"
Burkina Faso,"13,816",+18,171 ,,"13,545",+10,100
Congo,"13,588",,183 ,,"12,421",,984
Burundi,"12,585",,38 ,,773,,"11,774"
